Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11148815,"SZU Bayes","2023-10-29 07:21:06",0.00000,3,bayes2003
2,10072053,MLCV,"2023-11-24 15:16:16",0.00000,3,computervisi
3,8113124,serkanp,"2023-11-25 17:22:59",0.00044,5,serkanp
4,10986618,"Serhii Yanovskii","2023-09-29 11:19:10",0.00044,2,serhiiyanovskii
5,10998679,sunny4119,"2023-10-30 03:48:14",0.00044,17,sunny4119
6,9654396,"Ahmed Gouda","2023-11-26 01:04:09",0.00044,27,ahmedgouda8wo
7,10894497,"Serhii Kharchuk","2023-10-05 20:03:17",0.00044,1,serhiikharchuk
8,10642175,"Uday Dahiya","2023-10-06 11:37:13",0.00044,1,udaydahiya
9,10099998,liukun1,"2023-10-08 09:55:54",0.00044,3,liukun1
10,7823518,"BJ Acharya","2023-10-23 10:35:19",0.00044,22,bjacharya
11,11051876,zhangchengge,"2023-10-11 10:06:05",0.00044,3,zhangchengge
12,11060160,"Margarita Baklan","2023-10-12 17:57:50",0.00044,1,margohrv
13,6081553,"Mihiru Lakshitha","2023-10-14 02:55:54",0.00044,5,mihirulakshitha
14,11077613,zhiyue666,"2023-10-16 09:56:15",0.00044,1,zhiyue666
15,10941974,"Sun Baochaun","2023-10-24 08:54:06",0.00044,24,sunbaochaun
16,10979856,cxgh68,"2023-10-19 01:35:47",0.00044,4,cxgh68
17,11096266,"fan huai yuan","2023-11-09 12:30:26",0.00044,5,fanhuaiyuan
18,10956167,guoguoqing,"2023-10-21 12:20:52",0.00044,3,guoguoiqngzk
19,11075441,"Bo #2","2023-10-23 00:55:26",0.00044,20,liangbo311
20,10928925,mamsakaki,"2023-10-21 02:23:59",0.00044,1,mamsakaki
21,11009396,PIY95Mis,"2023-10-21 13:56:39",0.00044,5,piy95mis
22,11108215,"Abhijith Aravind","2023-10-21 17:10:20",0.00044,1,abhijitharavind
23,11122309,"[Deleted] 723d2ec1-627e-45d9-ac70-88ad287bc7e6","2023-10-28 14:36:35",0.00044,4,del=b5a2b99bf82c4e71
24,11058495,"Giuseppe Simone","2023-10-25 11:06:47",0.00044,17,giuseppesimone99
25,11095319,"Yaswanthi Ch","2023-10-26 14:07:38",0.00044,2,yaswanthich
26,11127105,"srivaishnavi dosapati","2023-10-27 06:46:54",0.00044,2,srivaishnavidosapati
27,11143383,"Zé Diogo Castro","2023-10-28 00:27:45",0.00044,8,zdiogocastro
28,11138570,"SUII CR7","2023-11-17 06:29:10",0.00044,23,ajeyyy07
29,11072192,SITCEG13,"2023-11-12 07:12:44",0.00044,19,"irangchew,kangshenghon,kennykohwanming,michaelwong449,moiweikang,vjs1703"
30,11155605,"pet yui ty","2023-11-03 12:19:07",0.00044,15,petyuity
31,11146263,cnzvan,"2023-10-31 10:45:07",0.00044,7,cnzvan
